CurrentDemand,Efficiency
0,1
0.1,0.999747047
0.11,0.999728366
0.121,0.999707817
0.133,0.999685214
0.146,0.999660351
0.161,0.999633003
0.177,0.999602921
0.195,0.999569832
0.214,0.999533436
0.236,0.999493402
0.259,0.999449368
0.285,0.999400933
0.314,0.999347657
0.345,0.999289059
0.38,0.999224605
0.418,0.999153712
0.459,0.999075737
0.505,0.998989974
0.556,0.998895645
0.612,0.998791897
0.673,0.998677789
0.74,0.99855229
0.814,0.998414264
0.895,0.998262463
0.985,0.998095516
1.083,0.997911915
1.192,0.997710004
1.311,0.997487962
1.442,0.997243788
1.586,0.996975284
1.745,0.996680036
1.919,0.996355392
2.111,0.995998439
2.323,0.995605978
2.555,0.995174499
2.81,0.994700147
3.091,0.994178692
3.4,0.993605494
3.74,0.992975463
4.114,0.992283018
4.526,0.99152204
4.979,0.990685825
5.476,0.989767029
6.024,0.988757613
6.626,0.987648777
7.289,0.986430897
8.018,0.985093455
8.82,0.983624956
9.702,0.982012858
10.672,0.980243478
11.739,0.978301907
12.913,0.976171913
14.204,0.973835848
15.625,0.971274544
17.187,0.968467216
18.906,0.965391356
20.797,0.962022639
22.876,0.958334825
25.164,0.954299676
27.68,0.949886879
30.448,0.945063992
33.493,0.939796409
36.842,0.934047361
40.527,0.927777952
44.579,0.920947259
49.037,0.913512479
53.941,0.905429182
59.335,0.896651643
65.268,0.887133315
71.795,0.876827442
78.975,0.865687852
86.872,0.853669968
95.559,0.840732051
105.115,0.82683675
115.627,0.811952955
127.19,0.796058027
139.908,0.779140421
153.899,0.761202713
169.289,0.742265064
186.218,0.722369056
204.84,0.701581843
225.324,0.680000453
247.856,0.657755972
272.642,0.635017191
299.906,0.611993044
329.897,0.588932875
362.887,0.566123072
399.175,0.543878012
439.093,0.522522345
483.002,0.502360465
531.302,0.483627321
584.432,0.466412454
642.876,0.450546051
707.163,0.435431558
777.88,0.419803691
855.668,0.401382883
941.234,0.384824035
1035.358,0.367799698
1138.894,0.35077536
1252.783,0.333751022
1378.061,0.316726684
